CUSTKEY,CUSTNAME,CUSTPHONE,SEGMENT,NATIONKEY_CUS,NATION_CUS,NATIONCOMMENT_CUS,ORDERDATE,SUPPKEY,SUPPNAME,SUPPADDRESS,NATIONKEY_SUPP,NATION_SUPP,NATIONCOMMENT_SUPP,QUANTITY,DISCOUNT
125,Customer#000000125,29-261-996-3120,FURNITURE,19,ROMANIA,ular asymptotes are about the furious multipliers. express dependencies nag above the ironically ironic account,11/01/1997,1,Supplier#000000001," N kD4on9OM Ipw3,gf0JBoQDd7tgrzrddZ",17,PERU,platelets. blithely pending dependencies use fluffily across the even pinto beans. carefully silent accoun,46,0.015
8,Customer#000000008,27-147-574-9335,BUILDING,17,PERU,platelets. blithely pending dependencies use fluffily across the even pinto beans. carefully silent accoun,17/05/1997,6,Supplier#000000006,tQxuVm7s7CnK,14,KENYA," pending excuses haggle furiously deposits. pending, express pinto beans wake fluffily past t",43,0.033333333
8,Customer#000000008,27-147-574-9335,BUILDING,17,PERU,platelets. blithely pending dependencies use fluffily across the even pinto beans. carefully silent accoun,17/05/1997,6,Supplier#000000006,tQxuVm7s7CnK,14,KENYA," pending excuses haggle furiously deposits. pending, express pinto beans wake fluffily past t",43,0.033333333
8,Customer#000000008,27-147-574-9335,BUILDING,17,PERU,platelets. blithely pending dependencies use fluffily across the even pinto beans. carefully silent accoun,17/05/1997,6,Supplier#000000006,tQxuVm7s7CnK,14,KENYA," pending excuses haggle furiously deposits. pending, express pinto beans wake fluffily past t",43,0.033333333
8,Customer#000000008,27-147-574-9335,BUILDING,17,PERU,platelets. blithely pending dependencies use fluffily across the even pinto beans. carefully silent accoun,17/05/1997,1,Supplier#000000001," N kD4on9OM Ipw3,gf0JBoQDd7tgrzrddZ",17,PERU,platelets. blithely pending dependencies use fluffily across the even pinto beans. carefully silent accoun,6,0.03
8,Customer#000000008,27-147-574-9335,BUILDING,17,PERU,platelets. blithely pending dependencies use fluffily across the even pinto beans. carefully silent accoun,17/05/1997,1,Supplier#000000001," N kD4on9OM Ipw3,gf0JBoQDd7tgrzrddZ",17,PERU,platelets. blithely pending dependencies use fluffily across the even pinto beans. carefully silent accoun,6,0.03
8,Customer#000000008,27-147-574-9335,BUILDING,17,PERU,platelets. blithely pending dependencies use fluffily across the even pinto beans. carefully silent accoun,17/05/1997,1,Supplier#000000001," N kD4on9OM Ipw3,gf0JBoQDd7tgrzrddZ",17,PERU,platelets. blithely pending dependencies use fluffily across the even pinto beans. carefully silent accoun,6,0.03
122,Customer#000000122,13-702-694-4520,HOUSEHOLD,3,CANADA,"eas hang ironic, silent packages. slyly regular packages are furiously over the tithes. fluffily bold",16/02/1995,4,Supplier#000000004,Bk7ah4CK8SYQTepEmvMkkgMwg,15,MOROCCO,rns. blithely bold courts among the closely regular packages use furiously bold platelets?,13,0.1
122,Customer#000000122,13-702-694-4520,HOUSEHOLD,3,CANADA,"eas hang ironic, silent packages. slyly regular packages are furiously over the tithes. fluffily bold",16/02/1995,10,Supplier#000000010,Saygah3gYWMp72i PY,24,UNITED STATES,y final packages. slow foxes cajole quickly. quickly silent platelets breach ironic accounts. unusual pinto be,24,0.1
103,Customer#000000103,19-216-107-2107,BUILDING,9,INDONESIA, slyly express asymptotes. regular deposits haggle slyly. carefully ironic hockey players sleep blithely. carefull,17/06/1996,1,Supplier#000000001," N kD4on9OM Ipw3,gf0JBoQDd7tgrzrddZ",17,PERU,platelets. blithely pending dependencies use fluffily across the even pinto beans. carefully silent accoun,16,0.03
14,Customer#000000014,11-845-129-3851,FURNITURE,1,ARGENTINA,al foxes promise slyly according to the regular accounts. bold requests alon,02/02/1994,10,Supplier#000000010,Saygah3gYWMp72i PY,24,UNITED STATES,y final packages. slow foxes cajole quickly. quickly silent platelets breach ironic accounts. unusual pinto be,36,0.07
14,Customer#000000014,11-845-129-3851,FURNITURE,1,ARGENTINA,al foxes promise slyly according to the regular accounts. bold requests alon,02/02/1994,10,Supplier#000000010,Saygah3gYWMp72i PY,24,UNITED STATES,y final packages. slow foxes cajole quickly. quickly silent platelets breach ironic accounts. unusual pinto be,36,0.07
43,Customer#000000043,29-316-665-2897,MACHINERY,19,ROMANIA,ular asymptotes are about the furious multipliers. express dependencies nag above the ironically ironic account,06/02/1998,8,Supplier#000000008,9Sq4bBH2FQEmaFOocY45sRTxo6yuoG,17,PERU,platelets. blithely pending dependencies use fluffily across the even pinto beans. carefully silent accoun,46,0.05
43,Customer#000000043,29-316-665-2897,MACHINERY,19,ROMANIA,ular asymptotes are about the furious multipliers. express dependencies nag above the ironically ironic account,06/02/1998,8,Supplier#000000008,9Sq4bBH2FQEmaFOocY45sRTxo6yuoG,17,PERU,platelets. blithely pending dependencies use fluffily across the even pinto beans. carefully silent accoun,46,0.05
43,Customer#000000043,29-316-665-2897,MACHINERY,19,ROMANIA,ular asymptotes are about the furious multipliers. express dependencies nag above the ironically ironic account,06/02/1998,4,Supplier#000000004,Bk7ah4CK8SYQTepEmvMkkgMwg,15,MOROCCO,rns. blithely bold courts among the closely regular packages use furiously bold platelets?,13,0.09
43,Customer#000000043,29-316-665-2897,MACHINERY,19,ROMANIA,ular asymptotes are about the furious multipliers. express dependencies nag above the ironically ironic account,06/02/1998,4,Supplier#000000004,Bk7ah4CK8SYQTepEmvMkkgMwg,15,MOROCCO,rns. blithely bold courts among the closely regular packages use furiously bold platelets?,13,0.09
11,Customer#000000011,33-464-151-3439,BUILDING,23,UNITED KINGDOM,eans boost carefully special requests. accounts are. carefull,06/01/1992,4,Supplier#000000004,Bk7ah4CK8SYQTepEmvMkkgMwg,15,MOROCCO,rns. blithely bold courts among the closely regular packages use furiously bold platelets?,67,0.08
11,Customer#000000011,33-464-151-3439,BUILDING,23,UNITED KINGDOM,eans boost carefully special requests. accounts are. carefull,06/01/1992,4,Supplier#000000004,Bk7ah4CK8SYQTepEmvMkkgMwg,15,MOROCCO,rns. blithely bold courts among the closely regular packages use furiously bold platelets?,67,0.08
92,Customer#000000092,12-446-416-8471,MACHINERY,2,BRAZIL,y alongside of the pending deposits. carefully special packages are about the ironic forges. slyly special ,01/01/1992,8,Supplier#000000008,9Sq4bBH2FQEmaFOocY45sRTxo6yuoG,17,PERU,platelets. blithely pending dependencies use fluffily across the even pinto beans. carefully silent accoun,23,0.02
92,Customer#000000092,12-446-416-8471,MACHINERY,2,BRAZIL,y alongside of the pending deposits. carefully special packages are about the ironic forges. slyly special ,01/01/1992,8,Supplier#000000008,9Sq4bBH2FQEmaFOocY45sRTxo6yuoG,17,PERU,platelets. blithely pending dependencies use fluffily across the even pinto beans. carefully silent accoun,23,0.02
70,Customer#000000070,32-828-107-2832,FURNITURE,22,RUSSIA, requests against the platelets use never according to the quickly regular pint,16/08/1992,4,Supplier#000000004,Bk7ah4CK8SYQTepEmvMkkgMwg,15,MOROCCO,rns. blithely bold courts among the closely regular packages use furiously bold platelets?,43,0.03
116,Customer#000000116,26-632-309-5792,BUILDING,16,MOZAMBIQUE,"s. ironic, unusual asymptotes wake blithely r",16/03/1998,1,Supplier#000000001," N kD4on9OM Ipw3,gf0JBoQDd7tgrzrddZ",17,PERU,platelets. blithely pending dependencies use fluffily across the even pinto beans. carefully silent accoun,34,0.08
116,Customer#000000116,26-632-309-5792,BUILDING,16,MOZAMBIQUE,"s. ironic, unusual asymptotes wake blithely r",16/03/1998,1,Supplier#000000001," N kD4on9OM Ipw3,gf0JBoQDd7tgrzrddZ",17,PERU,platelets. blithely pending dependencies use fluffily across the even pinto beans. carefully silent accoun,34,0.08
116,Customer#000000116,26-632-309-5792,BUILDING,16,MOZAMBIQUE,"s. ironic, unusual asymptotes wake blithely r",16/03/1998,1,Supplier#000000001," N kD4on9OM Ipw3,gf0JBoQDd7tgrzrddZ",17,PERU,platelets. blithely pending dependencies use fluffily across the even pinto beans. carefully silent accoun,34,0.08
112,Customer#000000112,29-233-262-8382,FURNITURE,19,ROMANIA,ular asymptotes are about the furious multipliers. express dependencies nag above the ironically ironic account,12/08/1996,10,Supplier#000000010,Saygah3gYWMp72i PY,24,UNITED STATES,y final packages. slow foxes cajole quickly. quickly silent platelets breach ironic accounts. unusual pinto be,15,0.09
103,Customer#000000103,19-216-107-2107,BUILDING,9,INDONESIA, slyly express asymptotes. regular deposits haggle slyly. carefully ironic hockey players sleep blithely. carefull,19/12/1992,8,Supplier#000000008,9Sq4bBH2FQEmaFOocY45sRTxo6yuoG,17,PERU,platelets. blithely pending dependencies use fluffily across the even pinto beans. carefully silent accoun,31,0.09
8,Customer#000000008,27-147-574-9335,BUILDING,17,PERU,platelets. blithely pending dependencies use fluffily across the even pinto beans. carefully silent accoun,17/07/1994,3,Supplier#000000003,"q1,G3Pj6OjIuUYfUoH18BFTKP5aU9bEV3",1,ARGENTINA,al foxes promise slyly according to the regular accounts. bold requests alon,34,0.1
70,Customer#000000070,32-828-107-2832,FURNITURE,22,RUSSIA, requests against the platelets use never according to the quickly regular pint,11/04/1993,6,Supplier#000000006,tQxuVm7s7CnK,14,KENYA," pending excuses haggle furiously deposits. pending, express pinto beans wake fluffily past t",40,0.02
32,Customer#000000032,25-430-914-2194,BUILDING,15,MOROCCO,rns. blithely bold courts among the closely regular packages use furiously bold platelets?,29/01/1993,8,Supplier#000000008,9Sq4bBH2FQEmaFOocY45sRTxo6yuoG,17,PERU,platelets. blithely pending dependencies use fluffily across the even pinto beans. carefully silent accoun,97,0.05
32,Customer#000000032,25-430-914-2194,BUILDING,15,MOROCCO,rns. blithely bold courts among the closely regular packages use furiously bold platelets?,29/01/1993,8,Supplier#000000008,9Sq4bBH2FQEmaFOocY45sRTxo6yuoG,17,PERU,platelets. blithely pending dependencies use fluffily across the even pinto beans. carefully silent accoun,97,0.05
23,Customer#000000023,13-312-472-8245,HOUSEHOLD,3,CANADA,"eas hang ironic, silent packages. slyly regular packages are furiously over the tithes. fluffily bold",21/07/1992,4,Supplier#000000004,Bk7ah4CK8SYQTepEmvMkkgMwg,15,MOROCCO,rns. blithely bold courts among the closely regular packages use furiously bold platelets?,8,0.03
23,Customer#000000023,13-312-472-8245,HOUSEHOLD,3,CANADA,"eas hang ironic, silent packages. slyly regular packages are furiously over the tithes. fluffily bold",05/08/1992,6,Supplier#000000006,tQxuVm7s7CnK,14,KENYA," pending excuses haggle furiously deposits. pending, express pinto beans wake fluffily past t",11,0
23,Customer#000000023,13-312-472-8245,HOUSEHOLD,3,CANADA,"eas hang ironic, silent packages. slyly regular packages are furiously over the tithes. fluffily bold",05/08/1992,6,Supplier#000000006,tQxuVm7s7CnK,14,KENYA," pending excuses haggle furiously deposits. pending, express pinto beans wake fluffily past t",11,0
23,Customer#000000023,13-312-472-8245,HOUSEHOLD,3,CANADA,"eas hang ironic, silent packages. slyly regular packages are furiously over the tithes. fluffily bold",05/08/1992,6,Supplier#000000006,tQxuVm7s7CnK,14,KENYA," pending excuses haggle furiously deposits. pending, express pinto beans wake fluffily past t",11,0
139,Customer#000000139,19-140-352-1403,MACHINERY,9,INDONESIA, slyly express asymptotes. regular deposits haggle slyly. carefully ironic hockey players sleep blithely. carefull,29/10/1992,10,Supplier#000000010,Saygah3gYWMp72i PY,24,UNITED STATES,y final packages. slow foxes cajole quickly. quickly silent platelets breach ironic accounts. unusual pinto be,39,0
37,Customer#000000037,18-385-235-7162,FURNITURE,8,INDIA,ss excuses cajole slyly across the packages. deposits print aroun,09/09/1994,4,Supplier#000000004,Bk7ah4CK8SYQTepEmvMkkgMwg,15,MOROCCO,rns. blithely bold courts among the closely regular packages use furiously bold platelets?,67,0.08
37,Customer#000000037,18-385-235-7162,FURNITURE,8,INDIA,ss excuses cajole slyly across the packages. deposits print aroun,09/09/1994,4,Supplier#000000004,Bk7ah4CK8SYQTepEmvMkkgMwg,15,MOROCCO,rns. blithely bold courts among the closely regular packages use furiously bold platelets?,67,0.08
37,Customer#000000037,18-385-235-7162,FURNITURE,8,INDIA,ss excuses cajole slyly across the packages. deposits print aroun,09/09/1994,6,Supplier#000000006,tQxuVm7s7CnK,14,KENYA," pending excuses haggle furiously deposits. pending, express pinto beans wake fluffily past t",50,0.09
37,Customer#000000037,18-385-235-7162,FURNITURE,8,INDIA,ss excuses cajole slyly across the packages. deposits print aroun,09/09/1994,6,Supplier#000000006,tQxuVm7s7CnK,14,KENYA," pending excuses haggle furiously deposits. pending, express pinto beans wake fluffily past t",50,0.09
59,Customer#000000059,11-355-584-3112,MACHINERY,1,ARGENTINA,al foxes promise slyly according to the regular accounts. bold requests alon,04/04/1993,10,Supplier#000000010,Saygah3gYWMp72i PY,24,UNITED STATES,y final packages. slow foxes cajole quickly. quickly silent platelets breach ironic accounts. unusual pinto be,37,0.07
59,Customer#000000059,11-355-584-3112,MACHINERY,1,ARGENTINA,al foxes promise slyly according to the regular accounts. bold requests alon,04/04/1993,10,Supplier#000000010,Saygah3gYWMp72i PY,24,UNITED STATES,y final packages. slow foxes cajole quickly. quickly silent platelets breach ironic accounts. unusual pinto be,37,0.07
59,Customer#000000059,11-355-584-3112,MACHINERY,1,ARGENTINA,al foxes promise slyly according to the regular accounts. bold requests alon,04/04/1993,10,Supplier#000000010,Saygah3gYWMp72i PY,24,UNITED STATES,y final packages. slow foxes cajole quickly. quickly silent platelets breach ironic accounts. unusual pinto be,37,0.07
59,Customer#000000059,11-355-584-3112,MACHINERY,1,ARGENTINA,al foxes promise slyly according to the regular accounts. bold requests alon,04/04/1993,10,Supplier#000000010,Saygah3gYWMp72i PY,24,UNITED STATES,y final packages. slow foxes cajole quickly. quickly silent platelets breach ironic accounts. unusual pinto be,37,0.07
59,Customer#000000059,11-355-584-3112,MACHINERY,1,ARGENTINA,al foxes promise slyly according to the regular accounts. bold requests alon,04/04/1993,5,Supplier#000000005,Gcdm2rJRzl5qlTVzc,11,IRAQ,nic deposits boost atop the quickly final requests? quickly regula,31,0.01
59,Customer#000000059,11-355-584-3112,MACHINERY,1,ARGENTINA,al foxes promise slyly according to the regular accounts. bold requests alon,04/04/1993,5,Supplier#000000005,Gcdm2rJRzl5qlTVzc,11,IRAQ,nic deposits boost atop the quickly final requests? quickly regula,31,0.01
59,Customer#000000059,11-355-584-3112,MACHINERY,1,ARGENTINA,al foxes promise slyly according to the regular accounts. bold requests alon,04/04/1993,5,Supplier#000000005,Gcdm2rJRzl5qlTVzc,11,IRAQ,nic deposits boost atop the quickly final requests? quickly regula,31,0.01
59,Customer#000000059,11-355-584-3112,MACHINERY,1,ARGENTINA,al foxes promise slyly according to the regular accounts. bold requests alon,04/04/1993,5,Supplier#000000005,Gcdm2rJRzl5qlTVzc,11,IRAQ,nic deposits boost atop the quickly final requests? quickly regula,31,0.01
122,Customer#000000122,13-702-694-4520,HOUSEHOLD,3,CANADA,"eas hang ironic, silent packages. slyly regular packages are furiously over the tithes. fluffily bold",11/05/1998,3,Supplier#000000003,"q1,G3Pj6OjIuUYfUoH18BFTKP5aU9bEV3",1,ARGENTINA,al foxes promise slyly according to the regular accounts. bold requests alon,2,0
149,Customer#000000149,29-797-439-6760,AUTOMOBILE,19,ROMANIA,ular asymptotes are about the furious multipliers. express dependencies nag above the ironically ironic account,04/07/1994,6,Supplier#000000006,tQxuVm7s7CnK,14,KENYA," pending excuses haggle furiously deposits. pending, express pinto beans wake fluffily past t",60,0.06
34,Customer#000000034,25-344-968-5422,HOUSEHOLD,15,MOROCCO,rns. blithely bold courts among the closely regular packages use furiously bold platelets?,03/12/1997,5,Supplier#000000005,Gcdm2rJRzl5qlTVzc,11,IRAQ,nic deposits boost atop the quickly final requests? quickly regula,46,0.01
124,Customer#000000124,28-183-750-7809,AUTOMOBILE,18,CHINA,c dependencies. furiously express notornis sleep slyly regular accounts. ideas sleep. depos,02/11/1995,1,Supplier#000000001," N kD4on9OM Ipw3,gf0JBoQDd7tgrzrddZ",17,PERU,platelets. blithely pending dependencies use fluffily across the even pinto beans. carefully silent accoun,37,0.05
142,Customer#000000142,19-407-425-2584,AUTOMOBILE,9,INDONESIA, slyly express asymptotes. regular deposits haggle slyly. carefully ironic hockey players sleep blithely. carefull,06/07/1997,8,Supplier#000000008,9Sq4bBH2FQEmaFOocY45sRTxo6yuoG,17,PERU,platelets. blithely pending dependencies use fluffily across the even pinto beans. carefully silent accoun,67,0.093333333
142,Customer#000000142,19-407-425-2584,AUTOMOBILE,9,INDONESIA, slyly express asymptotes. regular deposits haggle slyly. carefully ironic hockey players sleep blithely. carefull,06/07/1997,8,Supplier#000000008,9Sq4bBH2FQEmaFOocY45sRTxo6yuoG,17,PERU,platelets. blithely pending dependencies use fluffily across the even pinto beans. carefully silent accoun,67,0.093333333
148,Customer#000000148,21-562-498-6636,HOUSEHOLD,11,IRAQ,nic deposits boost atop the quickly final requests? quickly regula,25/07/1997,1,Supplier#000000001," N kD4on9OM Ipw3,gf0JBoQDd7tgrzrddZ",17,PERU,platelets. blithely pending dependencies use fluffily across the even pinto beans. carefully silent accoun,37,0
148,Customer#000000148,21-562-498-6636,HOUSEHOLD,11,IRAQ,nic deposits boost atop the quickly final requests? quickly regula,25/07/1997,1,Supplier#000000001," N kD4on9OM Ipw3,gf0JBoQDd7tgrzrddZ",17,PERU,platelets. blithely pending dependencies use fluffily across the even pinto beans. carefully silent accoun,37,0
13,Customer#000000013,13-761-547-5974,BUILDING,3,CANADA,"eas hang ironic, silent packages. slyly regular packages are furiously over the tithes. fluffily bold",09/06/1995,10,Supplier#000000010,Saygah3gYWMp72i PY,24,UNITED STATES,y final packages. slow foxes cajole quickly. quickly silent platelets breach ironic accounts. unusual pinto be,50,0.025
149,Customer#000000149,29-797-439-6760,AUTOMOBILE,19,ROMANIA,ular asymptotes are about the furious multipliers. express dependencies nag above the ironically ironic account,30/06/1994,4,Supplier#000000004,Bk7ah4CK8SYQTepEmvMkkgMwg,15,MOROCCO,rns. blithely bold courts among the closely regular packages use furiously bold platelets?,24,0
149,Customer#000000149,29-797-439-6760,AUTOMOBILE,19,ROMANIA,ular asymptotes are about the furious multipliers. express dependencies nag above the ironically ironic account,30/06/1994,4,Supplier#000000004,Bk7ah4CK8SYQTepEmvMkkgMwg,15,MOROCCO,rns. blithely bold courts among the closely regular packages use furiously bold platelets?,24,0
149,Customer#000000149,29-797-439-6760,AUTOMOBILE,19,ROMANIA,ular asymptotes are about the furious multipliers. express dependencies nag above the ironically ironic account,30/06/1994,4,Supplier#000000004,Bk7ah4CK8SYQTepEmvMkkgMwg,15,MOROCCO,rns. blithely bold courts among the closely regular packages use furiously bold platelets?,24,0
112,Customer#000000112,29-233-262-8382,FURNITURE,19,ROMANIA,ular asymptotes are about the furious multipliers. express dependencies nag above the ironically ironic account,12/10/1992,6,Supplier#000000006,tQxuVm7s7CnK,14,KENYA," pending excuses haggle furiously deposits. pending, express pinto beans wake fluffily past t",43,0.09
73,Customer#000000073,10-473-439-3214,BUILDING,0,ALGERIA, haggle. carefully final deposits detect slyly agai,15/01/1997,8,Supplier#000000008,9Sq4bBH2FQEmaFOocY45sRTxo6yuoG,17,PERU,platelets. blithely pending dependencies use fluffily across the even pinto beans. carefully silent accoun,20,0.01
73,Customer#000000073,10-473-439-3214,BUILDING,0,ALGERIA, haggle. carefully final deposits detect slyly agai,15/01/1997,8,Supplier#000000008,9Sq4bBH2FQEmaFOocY45sRTxo6yuoG,17,PERU,platelets. blithely pending dependencies use fluffily across the even pinto beans. carefully silent accoun,20,0.01
32,Customer#000000032,25-430-914-2194,BUILDING,15,MOROCCO,rns. blithely bold courts among the closely regular packages use furiously bold platelets?,11/01/1992,1,Supplier#000000001," N kD4on9OM Ipw3,gf0JBoQDd7tgrzrddZ",17,PERU,platelets. blithely pending dependencies use fluffily across the even pinto beans. carefully silent accoun,8,0.03
124,Customer#000000124,28-183-750-7809,AUTOMOBILE,18,CHINA,c dependencies. furiously express notornis sleep slyly regular accounts. ideas sleep. depos,25/10/1996,3,Supplier#000000003,"q1,G3Pj6OjIuUYfUoH18BFTKP5aU9bEV3",1,ARGENTINA,al foxes promise slyly according to the regular accounts. bold requests alon,17,0.1
28,Customer#000000028,18-774-241-1462,FURNITURE,8,INDIA,ss excuses cajole slyly across the packages. deposits print aroun,06/09/1997,8,Supplier#000000008,9Sq4bBH2FQEmaFOocY45sRTxo6yuoG,17,PERU,platelets. blithely pending dependencies use fluffily across the even pinto beans. carefully silent accoun,13,0.02
13,Customer#000000013,13-761-547-5974,BUILDING,3,CANADA,"eas hang ironic, silent packages. slyly regular packages are furiously over the tithes. fluffily bold",17/04/1992,1,Supplier#000000001," N kD4on9OM Ipw3,gf0JBoQDd7tgrzrddZ",17,PERU,platelets. blithely pending dependencies use fluffily across the even pinto beans. carefully silent accoun,15,0.07
11,Customer#000000011,33-464-151-3439,BUILDING,23,UNITED KINGDOM,eans boost carefully special requests. accounts are. carefull,14/11/1992,5,Supplier#000000005,Gcdm2rJRzl5qlTVzc,11,IRAQ,nic deposits boost atop the quickly final requests? quickly regula,17,0.02
