CUSTKEY,CUSTNAME,CUSTADDRESS,SEGMENT,SUPPKEY,SUPPNAME,SUPPADDRESS,NATIONKEY,NATION,REGIONKEY,REGION,PARTKEY,PARTNAME,BRAND,MANUFACTURE,TYPE,QUANTITY,EXTENDEDPRICE,TAX
49,Customer#000000049,"cNgAeX7Fqrdf7HQN9EwjUa4nxT,68L FKAxzl",FURNITURE,10,Supplier#000000010,Saygah3gYWMp72i PY,24,UNITED STATES,1,AMERICA,89,ghost lace lemon sienna saddle,Brand#53,Manufacturer#5,STANDARD BURNISHED STEEL,40,39563.2,0.08
43,Customer#000000043,ouSbjHk8lh5fKX3zGso3ZSIj9Aa3PoaFd,MACHINERY,10,Supplier#000000010,Saygah3gYWMp72i PY,24,UNITED STATES,1,AMERICA,172,medium goldenrod linen sky coral,Brand#53,Manufacturer#5,PROMO PLATED NICKEL,13,13938.21,0.06
71,Customer#000000071,"TlGalgdXWBmMV,6agLyWYDyIz9MKzcY8gl,w6t1B",HOUSEHOLD,6,Supplier#000000006,tQxuVm7s7CnK,14,KENYA,0,AFRICA,116,goldenrod black slate forest red,Brand#53,Manufacturer#5,PROMO POLISHED NICKEL,49,49789.39,0.05
46,Customer#000000046,eaTXWWm10L9,AUTOMOBILE,2,Supplier#000000002,"89eJ5ksX3ImxJQBvxObC,",5,ETHIOPIA,0,AFRICA,136,cornsilk maroon blanched thistle rosy,Brand#22,Manufacturer#2,SMALL PLATED STEEL,115,39718.31667,0.026666667
149,Customer#000000149,3byTHCp2mNLPigUrrq,AUTOMOBILE,3,Supplier#000000003,"q1,G3Pj6OjIuUYfUoH18BFTKP5aU9bEV3",1,ARGENTINA,1,AMERICA,92,blush magenta ghost tomato rose,Brand#22,Manufacturer#2,STANDARD ANODIZED TIN,46,22818.07,0.055
149,Customer#000000149,3byTHCp2mNLPigUrrq,AUTOMOBILE,2,Supplier#000000002,"89eJ5ksX3ImxJQBvxObC,",5,ETHIOPIA,0,AFRICA,7,moccasin green thistle khaki floral,Brand#11,Manufacturer#1,SMALL PLATED COPPER,25,22675,0
79,Customer#000000079,"n5hH2ftkVRwW8idtD,BmM2",MACHINERY,3,Supplier#000000003,"q1,G3Pj6OjIuUYfUoH18BFTKP5aU9bEV3",1,ARGENTINA,1,AMERICA,128,dark burlywood burnished snow sky,Brand#22,Manufacturer#2,PROMO PLATED TIN,49,50377.88,0.05
31,Customer#000000031,LUACbO0viaAv6eXOAebryDB xjVst,HOUSEHOLD,5,Supplier#000000005,Gcdm2rJRzl5qlTVzc,11,IRAQ,4,MIDDLE EAST,44,saddle cream wheat lemon burnished,Brand#45,Manufacturer#4,MEDIUM PLATED TIN,18,16992.72,0.08
148,Customer#000000148,BhSPlEWGvIJyT9swk vCWE,HOUSEHOLD,6,Supplier#000000006,tQxuVm7s7CnK,14,KENYA,0,AFRICA,147,honeydew orange dodger linen lace,Brand#11,Manufacturer#1,MEDIUM PLATED COPPER,10,10471.4,0.05
94,Customer#000000094,IfVNIN9KtkScJ9dUjK3Pg5gY1aFeaXewwf,HOUSEHOLD,10,Supplier#000000010,Saygah3gYWMp72i PY,24,UNITED STATES,1,AMERICA,189,dodger moccasin lemon purple thistle,Brand#22,Manufacturer#2,MEDIUM BRUSHED BRASS,8,4356.72,0.01
49,Customer#000000049,"cNgAeX7Fqrdf7HQN9EwjUa4nxT,68L FKAxzl",FURNITURE,3,Supplier#000000003,"q1,G3Pj6OjIuUYfUoH18BFTKP5aU9bEV3",1,ARGENTINA,1,AMERICA,124,wheat blush forest metallic navajo,Brand#32,Manufacturer#3,PROMO ANODIZED STEEL,47,48133.64,0.01
67,Customer#000000067,rfG0cOgtr5W8 xILkwp9fpCS8,MACHINERY,5,Supplier#000000005,Gcdm2rJRzl5qlTVzc,11,IRAQ,4,MIDDLE EAST,4,cornflower chocolate smoke green pink,Brand#34,Manufacturer#3,SMALL PLATED BRASS,6,5424,0.01
43,Customer#000000043,ouSbjHk8lh5fKX3zGso3ZSIj9Aa3PoaFd,MACHINERY,7,Supplier#000000007,"s,4TicNGB4uO6PaSqNBUq",23,UNITED KINGDOM,3,EUROPE,10,linen pink saddle puff powder,Brand#54,Manufacturer#5,LARGE BURNISHED STEEL,18,16380.18,0.03
91,Customer#000000091,S8OMYFrpHwoNHaGBeuS6E 6zhHGZiprw1b7 q,AUTOMOBILE,10,Supplier#000000010,Saygah3gYWMp72i PY,24,UNITED STATES,1,AMERICA,141,honeydew magenta tomato spring medium,Brand#35,Manufacturer#3,STANDARD ANODIZED STEEL,13,13534.82,0.01
112,Customer#000000112,RcfgG3bO7QeCnfjqJT1,FURNITURE,3,Supplier#000000003,"q1,G3Pj6OjIuUYfUoH18BFTKP5aU9bEV3",1,ARGENTINA,1,AMERICA,158,magenta light misty navy honeydew,Brand#45,Manufacturer#4,MEDIUM BURNISHED COPPER,34,35977.1,0.02
106,Customer#000000106,xGCOEAUjUNG,MACHINERY,7,Supplier#000000007,"s,4TicNGB4uO6PaSqNBUq",23,UNITED KINGDOM,3,EUROPE,124,wheat blush forest metallic navajo,Brand#32,Manufacturer#3,PROMO ANODIZED STEEL,39,39940.68,0.07
106,Customer#000000106,xGCOEAUjUNG,MACHINERY,4,Supplier#000000004,Bk7ah4CK8SYQTepEmvMkkgMwg,15,MOROCCO,0,AFRICA,152,white sky antique tomato chartreuse,Brand#53,Manufacturer#5,MEDIUM POLISHED STEEL,22,23147.3,0.02
106,Customer#000000106,xGCOEAUjUNG,MACHINERY,10,Supplier#000000010,Saygah3gYWMp72i PY,24,UNITED STATES,1,AMERICA,198,orange cornflower indian aquamarine white,Brand#41,Manufacturer#4,PROMO BRUSHED NICKEL,36,39534.84,0.01
71,Customer#000000071,"TlGalgdXWBmMV,6agLyWYDyIz9MKzcY8gl,w6t1B",HOUSEHOLD,2,Supplier#000000002,"89eJ5ksX3ImxJQBvxObC,",5,ETHIOPIA,0,AFRICA,123,deep dim peach light beige,Brand#12,Manufacturer#1,SMALL BURNISHED TIN,14,14323.68,0.03
79,Customer#000000079,"n5hH2ftkVRwW8idtD,BmM2",MACHINERY,2,Supplier#000000002,"89eJ5ksX3ImxJQBvxObC,",5,ETHIOPIA,0,AFRICA,115,spring chiffon cream orchid dodger,Brand#45,Manufacturer#4,STANDARD POLISHED STEEL,30,30453.3,0.05
97,Customer#000000097,"OApyejbhJG,0Iw3j rd1M",AUTOMOBILE,3,Supplier#000000003,"q1,G3Pj6OjIuUYfUoH18BFTKP5aU9bEV3",1,ARGENTINA,1,AMERICA,106,cornsilk bisque seashell lemon frosted,Brand#31,Manufacturer#3,MEDIUM PLATED BRASS,2,2012.2,0.08
113,Customer#000000113,"eaOl5UBXIvdY57rglaIzqvfPD,MYfK",BUILDING,7,Supplier#000000007,"s,4TicNGB4uO6PaSqNBUq",23,UNITED KINGDOM,3,EUROPE,68,bisque ivory mint purple almond,Brand#11,Manufacturer#1,PROMO ANODIZED STEEL,30,29041.8,0.01
148,Customer#000000148,BhSPlEWGvIJyT9swk vCWE,HOUSEHOLD,7,Supplier#000000007,"s,4TicNGB4uO6PaSqNBUq",23,UNITED KINGDOM,3,EUROPE,26,beige frosted moccasin chocolate snow,Brand#32,Manufacturer#3,SMALL BRUSHED STEEL,37,34262.74,0
139,Customer#000000139,3ElvBwudHKL02732YexGVFVt ,MACHINERY,6,Supplier#000000006,tQxuVm7s7CnK,14,KENYA,0,AFRICA,154,peru moccasin peach pale spring,Brand#11,Manufacturer#1,ECONOMY ANODIZED TIN,4,4216.6,0.07
130,Customer#000000130,RKPx2OfZy0Vn 8wGWZ7F2EAvmMORl1k8iH,HOUSEHOLD,10,Supplier#000000010,Saygah3gYWMp72i PY,24,UNITED STATES,1,AMERICA,34,khaki steel rose ghost salmon,Brand#13,Manufacturer#1,LARGE BRUSHED STEEL,38,35493.14,0.03
62,Customer#000000062,"upJK2Dnw13,",MACHINERY,4,Supplier#000000004,Bk7ah4CK8SYQTepEmvMkkgMwg,15,MOROCCO,0,AFRICA,147,honeydew orange dodger linen lace,Brand#11,Manufacturer#1,MEDIUM PLATED COPPER,47,49215.58,0.08
43,Customer#000000043,ouSbjHk8lh5fKX3zGso3ZSIj9Aa3PoaFd,MACHINERY,4,Supplier#000000004,Bk7ah4CK8SYQTepEmvMkkgMwg,15,MOROCCO,0,AFRICA,73,cream moccasin royal dim chiffon,Brand#21,Manufacturer#2,SMALL BRUSHED COPPER,6,5838.42,0.02
79,Customer#000000079,"n5hH2ftkVRwW8idtD,BmM2",MACHINERY,7,Supplier#000000007,"s,4TicNGB4uO6PaSqNBUq",23,UNITED KINGDOM,3,EUROPE,36,chiffon tan forest moccasin dark,Brand#25,Manufacturer#2,SMALL BURNISHED COPPER,41,38377.23,0
149,Customer#000000149,3byTHCp2mNLPigUrrq,AUTOMOBILE,5,Supplier#000000005,Gcdm2rJRzl5qlTVzc,11,IRAQ,4,MIDDLE EAST,115,spring chiffon cream orchid dodger,Brand#45,Manufacturer#4,STANDARD POLISHED STEEL,20,20302.2,0.04
122,Customer#000000122,yp5slqoNd26lAENZW3a67wSfXA6hTF,HOUSEHOLD,3,Supplier#000000003,"q1,G3Pj6OjIuUYfUoH18BFTKP5aU9bEV3",1,ARGENTINA,1,AMERICA,51,lime frosted indian dodger linen,Brand#45,Manufacturer#4,ECONOMY BURNISHED NICKEL,13,12363.65,0.03
122,Customer#000000122,yp5slqoNd26lAENZW3a67wSfXA6hTF,HOUSEHOLD,10,Supplier#000000010,Saygah3gYWMp72i PY,24,UNITED STATES,1,AMERICA,103,navy sky spring orchid forest,Brand#25,Manufacturer#2,MEDIUM PLATED BRASS,15,15046.5,0.02
94,Customer#000000094,IfVNIN9KtkScJ9dUjK3Pg5gY1aFeaXewwf,HOUSEHOLD,3,Supplier#000000003,"q1,G3Pj6OjIuUYfUoH18BFTKP5aU9bEV3",1,ARGENTINA,1,AMERICA,82,khaki tomato purple almond tan,Brand#15,Manufacturer#1,ECONOMY POLISHED TIN,2,1964.16,0
40,Customer#000000040,gOnGWAyhSV1ofv,BUILDING,2,Supplier#000000002,"89eJ5ksX3ImxJQBvxObC,",5,ETHIOPIA,0,AFRICA,161,metallic khaki navy forest cyan,Brand#22,Manufacturer#2,STANDARD PLATED TIN,17,9019.86,0.03
124,Customer#000000124,"aTbyVAW5tCd,v09O",AUTOMOBILE,4,Supplier#000000004,Bk7ah4CK8SYQTepEmvMkkgMwg,15,MOROCCO,0,AFRICA,176,pink drab ivory papaya grey,Brand#24,Manufacturer#2,SMALL ANODIZED STEEL,90,48427.65,0.035
16,Customer#000000016,"cYiaeMLZSMAOQ2 d0W,",FURNITURE,6,Supplier#000000006,tQxuVm7s7CnK,14,KENYA,0,AFRICA,154,peru moccasin peach pale spring,Brand#11,Manufacturer#1,ECONOMY ANODIZED TIN,44,46382.6,0.02
16,Customer#000000016,"cYiaeMLZSMAOQ2 d0W,",FURNITURE,2,Supplier#000000002,"89eJ5ksX3ImxJQBvxObC,",5,ETHIOPIA,0,AFRICA,65,slate drab medium puff gainsboro,Brand#53,Manufacturer#5,MEDIUM BRUSHED COPPER,13,12545.78,0.04
34,Customer#000000034,"Q6G9wZ6dnczmtOx509xgE,M2KV",HOUSEHOLD,5,Supplier#000000005,Gcdm2rJRzl5qlTVzc,11,IRAQ,4,MIDDLE EAST,64,aquamarine coral lemon ivory gainsboro,Brand#21,Manufacturer#2,MEDIUM ANODIZED BRASS,6,5784.36,0.01
2,Customer#000000002,"XSTf4,NCwDVaWNe6tEgvwfmRchLXak",AUTOMOBILE,3,Supplier#000000003,"q1,G3Pj6OjIuUYfUoH18BFTKP5aU9bEV3",1,ARGENTINA,1,AMERICA,28,navajo yellow drab white misty,Brand#44,Manufacturer#4,SMALL PLATED COPPER,7,6496.14,0.04
142,Customer#000000142,"AnJ5lxtLjioClr2khl9pb8NLxG2,",AUTOMOBILE,4,Supplier#000000004,Bk7ah4CK8SYQTepEmvMkkgMwg,15,MOROCCO,0,AFRICA,133,firebrick black dodger pink salmon,Brand#13,Manufacturer#1,SMALL BRUSHED NICKEL,7,7231.91,0.01
67,Customer#000000067,rfG0cOgtr5W8 xILkwp9fpCS8,MACHINERY,6,Supplier#000000006,tQxuVm7s7CnK,14,KENYA,0,AFRICA,185,firebrick black ivory spring medium,Brand#44,Manufacturer#4,ECONOMY POLISHED TIN,50,54259,0.05
79,Customer#000000079,"n5hH2ftkVRwW8idtD,BmM2",MACHINERY,10,Supplier#000000010,Saygah3gYWMp72i PY,24,UNITED STATES,1,AMERICA,163,blush metallic maroon lawn forest,Brand#21,Manufacturer#2,ECONOMY PLATED TIN,24,25515.84,0.03
82,Customer#000000082,"zhG3EZbap4c992Gj3bK,3Ne,Xn",AUTOMOBILE,2,Supplier#000000002,"89eJ5ksX3ImxJQBvxObC,",5,ETHIOPIA,0,AFRICA,123,deep dim peach light beige,Brand#12,Manufacturer#1,SMALL BURNISHED TIN,9,9208.08,0.07
14,Customer#000000014,KXkletMlL2JQEA ,FURNITURE,2,Supplier#000000002,"89eJ5ksX3ImxJQBvxObC,",5,ETHIOPIA,0,AFRICA,165,white dim cornflower sky seashell,Brand#15,Manufacturer#1,STANDARD PLATED STEEL,61,32487.38,0.065
14,Customer#000000014,KXkletMlL2JQEA ,FURNITURE,7,Supplier#000000007,"s,4TicNGB4uO6PaSqNBUq",23,UNITED KINGDOM,3,EUROPE,46,honeydew turquoise aquamarine spring tan,Brand#11,Manufacturer#1,STANDARD POLISHED TIN,8,7568.32,0.08
79,Customer#000000079,"n5hH2ftkVRwW8idtD,BmM2",MACHINERY,6,Supplier#000000006,tQxuVm7s7CnK,14,KENYA,0,AFRICA,185,firebrick black ivory spring medium,Brand#44,Manufacturer#4,ECONOMY POLISHED TIN,43,46662.74,0.03
79,Customer#000000079,"n5hH2ftkVRwW8idtD,BmM2",MACHINERY,10,Supplier#000000010,Saygah3gYWMp72i PY,24,UNITED STATES,1,AMERICA,21,lemon floral azure frosted lime,Brand#33,Manufacturer#3,SMALL BURNISHED TIN,46,42366.92,0.04
112,Customer#000000112,RcfgG3bO7QeCnfjqJT1,FURNITURE,2,Supplier#000000002,"89eJ5ksX3ImxJQBvxObC,",5,ETHIOPIA,0,AFRICA,172,medium goldenrod linen sky coral,Brand#53,Manufacturer#5,PROMO PLATED NICKEL,19,20371.23,0.01
43,Customer#000000043,ouSbjHk8lh5fKX3zGso3ZSIj9Aa3PoaFd,MACHINERY,10,Supplier#000000010,Saygah3gYWMp72i PY,24,UNITED STATES,1,AMERICA,171,beige violet black magenta chartreuse,Brand#11,Manufacturer#1,STANDARD BURNISHED COPPER,15,16067.55,0.07
109,Customer#000000109,OOOkYBgCMzgMQXUmkocoLb56rfrdWp2NE2c,BUILDING,5,Supplier#000000005,Gcdm2rJRzl5qlTVzc,11,IRAQ,4,MIDDLE EAST,8,misty lace thistle snow royal,Brand#44,Manufacturer#4,PROMO BURNISHED TIN,7,6356,0.03
64,Customer#000000064,"MbCeGY20kaKK3oalJD,OT",BUILDING,5,Supplier#000000005,Gcdm2rJRzl5qlTVzc,11,IRAQ,4,MIDDLE EAST,60,snow spring sandy olive tomato,Brand#11,Manufacturer#1,LARGE POLISHED COPPER,2,1920.12,0.04
70,Customer#000000070,mFowIuhnHjp2GjCiYYavkW kUwOjIaTCQ,FURNITURE,3,Supplier#000000003,"q1,G3Pj6OjIuUYfUoH18BFTKP5aU9bEV3",1,ARGENTINA,1,AMERICA,172,medium goldenrod linen sky coral,Brand#53,Manufacturer#5,PROMO PLATED NICKEL,56,30020.76,0.02
65,Customer#000000065,"RGT yzQ0y4l0H90P783LG4U95bXQFDRXbWa1sl,X",AUTOMOBILE,7,Supplier#000000007,"s,4TicNGB4uO6PaSqNBUq",23,UNITED KINGDOM,3,EUROPE,62,tan cornsilk spring grey chocolate,Brand#35,Manufacturer#3,STANDARD BRUSHED BRASS,48,46178.88,0.07
142,Customer#000000142,"AnJ5lxtLjioClr2khl9pb8NLxG2,",AUTOMOBILE,10,Supplier#000000010,Saygah3gYWMp72i PY,24,UNITED STATES,1,AMERICA,152,white sky antique tomato chartreuse,Brand#53,Manufacturer#5,MEDIUM POLISHED STEEL,22,23147.3,0.02
142,Customer#000000142,"AnJ5lxtLjioClr2khl9pb8NLxG2,",AUTOMOBILE,3,Supplier#000000003,"q1,G3Pj6OjIuUYfUoH18BFTKP5aU9bEV3",1,ARGENTINA,1,AMERICA,2,blush thistle blue yellow saddle,Brand#13,Manufacturer#1,LARGE BRUSHED BRASS,1,902,0.05
85,Customer#000000085,siRerlDwiolhYR 8FgksoezycLj,FURNITURE,5,Supplier#000000005,Gcdm2rJRzl5qlTVzc,11,IRAQ,4,MIDDLE EAST,108,bisque peach magenta tomato yellow,Brand#12,Manufacturer#1,PROMO PLATED NICKEL,30,30243,0.03
145,Customer#000000145,kQjHmt2kcec cy3hfMh969u,HOUSEHOLD,7,Supplier#000000007,"s,4TicNGB4uO6PaSqNBUq",23,UNITED KINGDOM,3,EUROPE,86,green blanched firebrick dim cream,Brand#44,Manufacturer#4,STANDARD PLATED TIN,58,28596.32,0.035
4,Customer#000000004,XxVSJsLAGtn,MACHINERY,2,Supplier#000000002,"89eJ5ksX3ImxJQBvxObC,",5,ETHIOPIA,0,AFRICA,1,goldenrod lavender spring chocolate lace,Brand#13,Manufacturer#1,PROMO BURNISHED COPPER,38,17119,0.025
149,Customer#000000149,3byTHCp2mNLPigUrrq,AUTOMOBILE,6,Supplier#000000006,tQxuVm7s7CnK,14,KENYA,0,AFRICA,9,thistle dim navajo dark gainsboro,Brand#43,Manufacturer#4,SMALL BURNISHED STEEL,45,40905,0.03
16,Customer#000000016,"cYiaeMLZSMAOQ2 d0W,",FURNITURE,2,Supplier#000000002,"89eJ5ksX3ImxJQBvxObC,",5,ETHIOPIA,0,AFRICA,54,blanched mint yellow papaya cyan,Brand#21,Manufacturer#2,LARGE BURNISHED COPPER,45,42932.25,0.08
142,Customer#000000142,"AnJ5lxtLjioClr2khl9pb8NLxG2,",AUTOMOBILE,7,Supplier#000000007,"s,4TicNGB4uO6PaSqNBUq",23,UNITED KINGDOM,3,EUROPE,102,papaya maroon blush powder sky,Brand#31,Manufacturer#3,MEDIUM BURNISHED BRASS,10,10021,0.05
142,Customer#000000142,"AnJ5lxtLjioClr2khl9pb8NLxG2,",AUTOMOBILE,4,Supplier#000000004,Bk7ah4CK8SYQTepEmvMkkgMwg,15,MOROCCO,0,AFRICA,14,khaki seashell rose cornsilk navajo,Brand#13,Manufacturer#1,SMALL POLISHED STEEL,34,31076.34,0
73,Customer#000000073,8IhIxreu4Ug6tt5mog4,BUILDING,3,Supplier#000000003,"q1,G3Pj6OjIuUYfUoH18BFTKP5aU9bEV3",1,ARGENTINA,1,AMERICA,82,khaki tomato purple almond tan,Brand#15,Manufacturer#1,ECONOMY POLISHED TIN,14,13749.12,0.06
92,Customer#000000092,"obP PULk2LH LqNF,K9hcbNqnLAkJVsl5xqSrY,",MACHINERY,7,Supplier#000000007,"s,4TicNGB4uO6PaSqNBUq",23,UNITED KINGDOM,3,EUROPE,96,chocolate light firebrick rose indian,Brand#53,Manufacturer#5,STANDARD BRUSHED STEEL,23,22910.07,0.03
70,Customer#000000070,mFowIuhnHjp2GjCiYYavkW kUwOjIaTCQ,FURNITURE,2,Supplier#000000002,"89eJ5ksX3ImxJQBvxObC,",5,ETHIOPIA,0,AFRICA,160,frosted cornflower khaki salmon metallic,Brand#55,Manufacturer#5,STANDARD POLISHED COPPER,50,53008,0.06
140,Customer#000000140,"XRqEPiKgcETII,iOLDZp5jA",MACHINERY,6,Supplier#000000006,tQxuVm7s7CnK,14,KENYA,0,AFRICA,35,green blush tomato burlywood seashell,Brand#43,Manufacturer#4,MEDIUM ANODIZED BRASS,30,28050.9,0.07
86,Customer#000000086,US6EGGHXbTTXPL9SBsxQJsuvy,HOUSEHOLD,3,Supplier#000000003,"q1,G3Pj6OjIuUYfUoH18BFTKP5aU9bEV3",1,ARGENTINA,1,AMERICA,142,chartreuse linen grey slate saddle,Brand#55,Manufacturer#5,STANDARD ANODIZED BRASS,47,48980.58,0.03
86,Customer#000000086,US6EGGHXbTTXPL9SBsxQJsuvy,HOUSEHOLD,3,Supplier#000000003,"q1,G3Pj6OjIuUYfUoH18BFTKP5aU9bEV3",1,ARGENTINA,1,AMERICA,166,linen bisque tomato gainsboro goldenrod,Brand#52,Manufacturer#5,LARGE POLISHED COPPER,4,4264.64,0.02
43,Customer#000000043,ouSbjHk8lh5fKX3zGso3ZSIj9Aa3PoaFd,MACHINERY,5,Supplier#000000005,Gcdm2rJRzl5qlTVzc,11,IRAQ,4,MIDDLE EAST,93,pale yellow cornsilk dodger moccasin,Brand#24,Manufacturer#2,LARGE ANODIZED TIN,8,7944.72,0.04
4,Customer#000000004,XxVSJsLAGtn,MACHINERY,7,Supplier#000000007,"s,4TicNGB4uO6PaSqNBUq",23,UNITED KINGDOM,3,EUROPE,131,tomato moccasin cyan brown goldenrod,Brand#52,Manufacturer#5,STANDARD ANODIZED BRASS,37,38151.81,0.06
106,Customer#000000106,xGCOEAUjUNG,MACHINERY,2,Supplier#000000002,"89eJ5ksX3ImxJQBvxObC,",5,ETHIOPIA,0,AFRICA,72,hot spring yellow azure dodger,Brand#23,Manufacturer#2,STANDARD ANODIZED TIN,3,2916.21,0.03
16,Customer#000000016,"cYiaeMLZSMAOQ2 d0W,",FURNITURE,10,Supplier#000000010,Saygah3gYWMp72i PY,24,UNITED STATES,1,AMERICA,141,honeydew magenta tomato spring medium,Brand#35,Manufacturer#3,STANDARD ANODIZED STEEL,17,17699.38,0.05
73,Customer#000000073,8IhIxreu4Ug6tt5mog4,BUILDING,5,Supplier#000000005,Gcdm2rJRzl5qlTVzc,11,IRAQ,4,MIDDLE EAST,157,navajo linen coral brown forest,Brand#11,Manufacturer#1,ECONOMY ANODIZED STEEL,50,52857.5,0.06
115,Customer#000000115,0WFt1IXENmUT2BgbsB0ShVKJZt0HCBCbFl0aHc,HOUSEHOLD,10,Supplier#000000010,Saygah3gYWMp72i PY,24,UNITED STATES,1,AMERICA,41,burlywood goldenrod pink peru sienna,Brand#23,Manufacturer#2,ECONOMY ANODIZED TIN,19,17879.76,0.02
35,Customer#000000035,TEjWGE4nBzJL2,HOUSEHOLD,7,Supplier#000000007,"s,4TicNGB4uO6PaSqNBUq",23,UNITED KINGDOM,3,EUROPE,55,sky cream deep tomato rosy,Brand#23,Manufacturer#2,ECONOMY BRUSHED COPPER,11,10505.55,0.08
10,Customer#000000010,6LrEaV6KR6PLVcgl2ArL Q3rqzLzcT1 v2,HOUSEHOLD,3,Supplier#000000003,"q1,G3Pj6OjIuUYfUoH18BFTKP5aU9bEV3",1,ARGENTINA,1,AMERICA,102,papaya maroon blush powder sky,Brand#31,Manufacturer#3,MEDIUM BURNISHED BRASS,8,8016.8,0
94,Customer#000000094,IfVNIN9KtkScJ9dUjK3Pg5gY1aFeaXewwf,HOUSEHOLD,2,Supplier#000000002,"89eJ5ksX3ImxJQBvxObC,",5,ETHIOPIA,0,AFRICA,36,chiffon tan forest moccasin dark,Brand#25,Manufacturer#2,SMALL BURNISHED COPPER,6,5616.18,0.05
10,Customer#000000010,6LrEaV6KR6PLVcgl2ArL Q3rqzLzcT1 v2,HOUSEHOLD,7,Supplier#000000007,"s,4TicNGB4uO6PaSqNBUq",23,UNITED KINGDOM,3,EUROPE,113,almond seashell azure blanched light,Brand#31,Manufacturer#3,PROMO POLISHED TIN,10,10131.1,0.06
149,Customer#000000149,3byTHCp2mNLPigUrrq,AUTOMOBILE,3,Supplier#000000003,"q1,G3Pj6OjIuUYfUoH18BFTKP5aU9bEV3",1,ARGENTINA,1,AMERICA,137,cornsilk drab ghost sandy royal,Brand#31,Manufacturer#3,ECONOMY PLATED STEEL,11,11408.43,0.05
